"route_id","schedule_date","car_type","route_distance_km","route_minutes","total_orders"
"568660","2019-07-01 10:00:00","Moto","64.798","106.4","2"
"568670","2019-07-01 09:00:00","Moto","42.719","116.44","1"
"568680","2019-07-01 13:00:00","Moto","103.452","193.94","6"
"568710","2019-07-01 13:00:00","Moto","87.336","171.45","2"
"568860","2019-07-01 14:00:00","Particular","62.833","243.75","15"
"568880","2019-07-01 09:00:00","Fiorino","51.522","267.97","23"
"568950","2019-07-01 11:00:00","Particular","27.447","230.98","27"
"568960","2019-07-01 11:00:00","Particular","26.596","222.78","29"
"568980","2019-07-01 11:00:00","Particular","34.062","234.87","28"
"568990","2019-07-01 11:00:00","Particular","29.721","245.57","26"
"569010","2019-07-01 14:00:00","Particular","64.480","282.23","13"
"569020","2019-07-01 14:00:00","Particular","52.904","228.2","10"
"569030","2019-07-01 14:00:00","Particular","52.380","236.72","15"
"569040","2019-07-01 14:00:00","Fiorino","73.590","278.92","11"
"569050","2019-07-01 14:00:00","Particular","46.726","162.98","6"
"569060","2019-07-01 14:00:00","Fiorino S.C.","71.068","266.63","9"
"569070","2019-07-01 14:00:00","Particular","46.829","253.75","12"
"569080","2019-07-01 14:00:00","Particular","62.085","273.83","10"
"569090","2019-07-01 14:00:00","Moto","88.221","137.63","4"
"569120","2019-07-01 14:00:00","Moto","41.145","59.86","1"
"569130","2019-07-01 14:00:00","Moto","38.107","55.81","1"
"569140","2019-07-01 14:00:00","Particular","64.238","251.02","14"
"569150","2019-07-01 14:00:00","Particular","45.262","195.28","18"
"569160","2019-07-01 14:00:00","Particular","49.673","246.87","19"
"569170","2019-07-01 14:00:00","Particular","45.788","224.92","23"
"569180","2019-07-01 14:00:00","Fiorino","35.194","183.35","17"
"569190","2019-07-01 14:00:00","Particular","47.626","206.42","16"
"569200","2019-07-01 14:00:00","Particular","39.924","187.58","17"
"569210","2019-07-01 17:15:00","Moto","53.620","201.49","26"
"569220","2019-07-01 17:15:00","Moto","69.934","191.25","15"
"569230","2019-07-01 17:15:00","Moto","56.705","195.61","24"
"569240","2019-07-01 17:15:00","Moto","37.066","120.42","13"
"569250","2019-07-01 17:15:00","Moto","44.482","99.31","8"
"569260","2019-07-01 17:15:00","Moto","40.343","93.79","8"
"569270","2019-07-01 17:15:00","Moto","41.118","89.82","7"
"569280","2019-07-01 17:15:00","Moto","54.747","103","5"
"569290","2019-07-01 16:00:00","Particular","41.358","216.35","18"
"569300","2019-07-01 16:00:00","Particular","118.656","490.2","28"
"569310","2019-07-01 16:00:00","Particular","40.037","200.85","15"
"569320","2019-07-01 16:00:00","Particular","28.432","110.5","8"
"569380","2019-07-01 17:15:00","Moto","42.032","131.04","15"
"569390","2019-07-01 17:15:00","Moto","158.948","342.93","24"
"569400","2019-07-01 17:15:00","Moto","52.515","135.02","13"
"569410","2019-07-01 17:00:00","Moto","29.455","64.27","5"
